clip_id,speaker_id,source_split,source_filename,source_url,source_sha256,processed_path,processed_sha256,original_sample_rate,sample_rate,duration_seconds,num_samples,seed,expected_message
2961-961-0021,2961,test-clean,LibriSpeech/test-clean/2961/961/2961-961-0021.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,1939ef1d1cdcf61af44f9a08e0cc2be460c772be3f68841d571985468f4b6211,data/processed/2961-961-0021.wav,23c293b7d323d85107b98d677bcd430087406060d2f44e8c09c5407920d9a20e,16000,16000,4.94,79040,20260905,0001110110001111
672-122797-0044,672,test-clean,LibriSpeech/test-clean/672/122797/672-122797-0044.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,30dfd88ccc8b641d250263094e829de48032160f0e8f954c0487a8ecd0da85cc,data/processed/672-122797-0044.wav,72a9ce58b3bad0054b95ec2a5d4749180256f5cba2084025be228ae9cd4cb049,16000,16000,3.74,59840,20260905,0000011101000100
4446-2275-0009,4446,test-clean,LibriSpeech/test-clean/4446/2275/4446-2275-0009.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,895f71ab63d8b0929a38a3095c7ecc661d75d4cbe4ccdc1e30662f88997b0db8,data/processed/4446-2275-0009.wav,8d6b63d8d4c3754b76d7c92fc476b333ffaa1ef96839a7b86c06da323959cb27,16000,16000,2.09,33440,20260905,1101110011111010
8455-210777-0039,8455,test-clean,LibriSpeech/test-clean/8455/210777/8455-210777-0039.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,1885b744cb8c54057c3c5729a12a48cf825097003722328c06c0b214daeb9991,data/processed/8455-210777-0039.wav,dd401f17487875be4faf27de6b53a991d3ae563f5b171bdf49a83baffc78eefa,16000,16000,5.59,89440,20260905,1001101010011111
61-70968-0021,61,test-clean,LibriSpeech/test-clean/61/70968/61-70968-0021.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,b3f397ef340a70245a7328ec5ccde7e5c4fbe84f05d37ef1c4ba5394f1610615,data/processed/61-70968-0021.wav,ed4ac4490d39178ba54a82b0eb0218be65279840642e8bdeb342ff55224e955d,16000,16000,2.69,43040,20260905,1111010110010000
1221-135767-0024,1221,test-clean,LibriSpeech/test-clean/1221/135767/1221-135767-0024.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,b1e70c8908466b8133795632bd939b7cd3127515325be0056ae3c0715fcd2201,data/processed/1221-135767-0024.wav,c7160978a51f72b599f85b2aa338331dfbf222530a9667a4d3652d9389479206,16000,16000,5.85,93600,20260905,1110100101000111
260-123286-0014,260,test-clean,LibriSpeech/test-clean/260/123286/260-123286-0014.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,38a749f3aeb6772b34ab0fbfb2fbfa8fc8be28b0c89eb56d21b0fe7b7d905481,data/processed/260-123286-0014.wav,53158b7aaf4f9d29a182f0b0e69632e97cbf2e30700f6238db133360257a2fc9,16000,16000,2.98,47680,20260905,0001110100000010
7729-102255-0025,7729,test-clean,LibriSpeech/test-clean/7729/102255/7729-102255-0025.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,f1bcf7045c580f7d10bdae6b1deb9a49616d8a3378d5634fb3a68f52d102b994,data/processed/7729-102255-0025.wav,79258f5463151c89c17c53b91bbf8ca267ea5179026149e3145c6769805f52f4,16000,16000,5.485,87760,20260905,0110010100001110
8224-274384-0009,8224,test-clean,LibriSpeech/test-clean/8224/274384/8224-274384-0009.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,638910fdc098236e8399948125f5bc7a8c9411abd8260c5513c4a91c57788018,data/processed/8224-274384-0009.wav,5875df9c2c6288e64a60d8f543b4880a9f5910b385408792a6dc87dc3b65fa6c,16000,16000,4.805,76880,20260905,0111011000011010
2830-3980-0065,2830,test-clean,LibriSpeech/test-clean/2830/3980/2830-3980-0065.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,35109bbb10092c39b7aab92038916e313e0eeb71b172f04a557257f90e89d502,data/processed/2830-3980-0065.wav,96962a0f8bd12e03b69de2722689053676337b0573636a4a854ae8c80827893c,16000,16000,6.515,104240,20260905,0010111000011000
7021-79740-0003,7021,test-clean,LibriSpeech/test-clean/7021/79740/7021-79740-0003.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,758a320b5aa421050fb27349b02c74093e8a70e475ef5905016936f0f377cc90,data/processed/7021-79740-0003.wav,b9ef7c7037746f907890965e6f30d4cf36e77ca6b0dd9dafbc66d19c8f6e3538,16000,16000,4.985,79760,20260905,0100100111011011
5105-28241-0003,5105,test-clean,LibriSpeech/test-clean/5105/28241/5105-28241-0003.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,5bd328b5c55618d8c8610f82e9d81501b96aba8813d880ba384a2d1eb367c5c6,data/processed/5105-28241-0003.wav,cc4db8c67b38ba0ea7e65eecec9d67385e9961729ed7221c8f72ab642a51ec76,16000,16000,3.98,63680,20260905,1011100010001010
