source_split,speaker_id,n_clips,duration_total_seconds,duration_mean_seconds,duration_min_seconds,duration_max_seconds,clip_ids
test-clean,1221,2,8.7,4.35,2.85,5.85,1221-135767-0015;1221-135767-0024
test-clean,260,2,6.05,3.025,2.98,3.07,260-123286-0014;260-123440-0017
test-clean,2830,2,11.515,5.7575,5,6.515,2830-3980-0065;2830-3980-0068
test-clean,2961,2,12.755,6.3775,4.94,7.815,2961-961-0011;2961-961-0021
test-clean,4446,2,4.48,2.24,2.09,2.39,4446-2273-0014;4446-2275-0009
test-clean,5105,2,9.27,4.635,3.98,5.29,5105-28241-0003;5105-28241-0019
test-clean,61,2,5.6249375,2.81246875,2.69,2.9349375,61-70968-0021;61-70968-0036
test-clean,672,2,7.81,3.905,3.74,4.07,672-122797-0000;672-122797-0044
test-clean,7021,2,7.14,3.57,2.155,4.985,7021-79740-0003;7021-85628-0017
test-clean,7729,2,10.78,5.39,5.295,5.485,7729-102255-0014;7729-102255-0025
test-clean,8224,2,14.62,7.31,4.805,9.815,8224-274384-0002;8224-274384-0009
test-clean,8455,2,8.745,4.3725,3.155,5.59,8455-210777-0020;8455-210777-0039
