condition,branch,metric,n_pairs_attempted,n_pairs_missing,attack_minus_clean_mean,attack_minus_clean_ci_low,attack_minus_clean_ci_high,attack_minus_clean_n,attack_minus_clean_n_missing,attack_minus_clean_n_finite,attack_minus_clean_n_infinite
clean,positive,tpr,24,0,0,0,0,24,0,24,0
clean,negative,fpr,24,0,0,0,0,24,0,24,0
clean,positive,ber,24,0,0,0,0,24,0,24,0
clean,positive,exact_recovery,24,0,0,0,0,24,0,24,0
mp3_128,positive,tpr,24,0,0,0,0,24,0,24,0
mp3_128,negative,fpr,24,0,0,0,0,24,0,24,0
mp3_128,positive,ber,24,0,0,0,0,24,0,24,0
mp3_128,positive,exact_recovery,24,0,0,0,0,24,0,24,0
mp3_64,positive,tpr,24,0,0,0,0,24,0,24,0
mp3_64,negative,fpr,24,0,0,0,0,24,0,24,0
mp3_64,positive,ber,24,0,0,0,0,24,0,24,0
mp3_64,positive,exact_recovery,24,0,0,0,0,24,0,24,0
noise_30,positive,tpr,24,0,-0.0416666666667,-0.125,0,24,0,24,0
noise_30,negative,fpr,24,0,0,0,0,24,0,24,0
noise_30,positive,ber,24,0,0,0,0,24,0,24,0
noise_30,positive,exact_recovery,24,0,0,0,0,24,0,24,0
noise_20,positive,tpr,24,0,-0.666666666667,-0.833333333333,-0.458333333333,24,0,24,0
noise_20,negative,fpr,24,0,0,0,0,24,0,24,0
noise_20,positive,ber,24,0,0.0234375,0.0104166666667,0.0390625,24,0,24,0
noise_20,positive,exact_recovery,24,0,-0.333333333333,-0.541666666667,-0.166666666667,24,0,24,0
resample_12000,positive,tpr,24,0,0,0,0,24,0,24,0
resample_12000,negative,fpr,24,0,0,0,0,24,0,24,0
resample_12000,positive,ber,24,0,0,0,0,24,0,24,0
resample_12000,positive,exact_recovery,24,0,0,0,0,24,0,24,0
resample_8000,positive,tpr,24,0,0,0,0,24,0,24,0
resample_8000,negative,fpr,24,0,0,0,0,24,0,24,0
resample_8000,positive,ber,24,0,0,0,0,24,0,24,0
resample_8000,positive,exact_recovery,24,0,0,0,0,24,0,24,0
pitch_minus2,positive,tpr,24,0,-1,-1,-1,24,0,24,0
pitch_minus2,negative,fpr,24,0,0,0,0,24,0,24,0
pitch_minus2,positive,ber,24,0,0.513020833333,0.473958333333,0.552083333333,24,0,24,0
pitch_minus2,positive,exact_recovery,24,0,-1,-1,-1,24,0,24,0
pitch_plus2,positive,tpr,24,0,-1,-1,-1,24,0,24,0
pitch_plus2,negative,fpr,24,0,0,0,0,24,0,24,0
pitch_plus2,positive,ber,24,0,0.53125,0.484375,0.578125,24,0,24,0
pitch_plus2,positive,exact_recovery,24,0,-1,-1,-1,24,0,24,0
stretch_09,positive,tpr,24,0,-0.916666666667,-1,-0.791666666667,24,0,24,0
stretch_09,negative,fpr,24,0,0,0,0,24,0,24,0
stretch_09,positive,ber,24,0,0.0234375,0.0078125,0.0416666666667,24,0,24,0
stretch_09,positive,exact_recovery,24,0,-0.25,-0.416666666667,-0.0833333333333,24,0,24,0
stretch_11,positive,tpr,24,0,-0.833333333333,-0.958333333333,-0.666666666667,24,0,24,0
stretch_11,negative,fpr,24,0,0,0,0,24,0,24,0
stretch_11,positive,ber,24,0,0,0,0,24,0,24,0
stretch_11,positive,exact_recovery,24,0,0,0,0,24,0,24,0
crop_10,positive,tpr,24,0,-0.208333333333,-0.375,-0.0416666666667,24,0,24,0
crop_10,negative,fpr,24,0,0,0,0,24,0,24,0
crop_10,positive,ber,24,0,0.348958333333,0.276041666667,0.427083333333,24,0,24,0
crop_10,positive,exact_recovery,24,0,-0.916666666667,-1,-0.791666666667,24,0,24,0
crop_25,positive,tpr,24,0,-0.291666666667,-0.459375,-0.125,24,0,24,0
crop_25,negative,fpr,24,0,0,0,0,24,0,24,0
crop_25,positive,ber,24,0,0.3125,0.255208333333,0.372395833333,24,0,24,0
crop_25,positive,exact_recovery,24,0,-0.958333333333,-1,-0.875,24,0,24,0
